Interpret;Titel
Phonat;Ride The Prejudice
Artful Dodger;No I Turn You On (Disclosure Remix) (Feat. Zoe Kypri)
Hot Natured;Reverse Skydiving (Benoit and Sergio Remix)
Appleblim;Fluorescent
SHAMS;She Wanted To Watch
Holden;Renata
Soft Metals;Tell Me
Stellar OM Source;Elite Excel
Four Tet;Pyramid (Atoms For Peace Remix)
Empress Of;Tristeza (Remixed By El Guincho & Pional)
The Weeknd;Kiss Land
Ms Lauryn Hill;Neurotic Society
Gorgeous Children;Liberace Gems
Paranoia;Nosaj Thing & Chance The Rapper
Kanye West & Rick Ross;Devil In a New Dress
Toni-L;Zerbombte Zukunft (Tunafleur Remix)
Torch;Ich hab geschrieben
MC Rene & Carl Crinx;Mein Leben ist ein Freestyle
Stieber Twins;Fenster Zum Hof
Timeless;Lass mich träumen
Megaloh;Dr. Cooper (Ich weiss)
SOHN;Bloodflows
Water;Every Pulse ft. Stone Fox
Sylvan Esso;Hey Mami
Austra & Gina X;Mayan Drums (Doldrums Remix)
SFV Acid;PT Sex
Kirin J Callinan;Embracism
Run The Jewels;Get It
Thundercat;Heartbreaks + Setbacks
Wise Blood;Universe Is Blessed
Active Child;Evening Ceremony
Say Lou Lou;Julian
Phoenix;Entertainment (Dirty Projectors Remix)
Marina And The Diamonds & Charli XCX;Just Desserts
Nujabes;Mystline
