Interpret;Titel
Casper;Im Ascheregen
WU LYF;Dirt
Ellery James Roberts;Kerou's Lament
Los Porcos;Sunshine
Part Time;Staring At a Gun
Phoenix;Trying To Be Cool Remix Feat. R. Kelly
SZA;Julia
Blood Orange;Hold On, We're Going Home (Drake Cover)
Drake;Hold On We're Going Home
Tink;Can I (Remix) (Feat. How To Dress Well)
The Weeknd;Kiss Land
Teen Daze;Okay
Teen Daze;Starscream Dream
Teen Daze;Ice On The Windowsill
Active Child;She Cut Me
Röyksopp;Daddy's Groove
Satin Jackets;You Make Me Feel Good (Original Mix)
Physical Therapy;Whitelabel
Kanye West;New Slaves
Big Sean;Control (HOF) (Feat. Kendrick Lamar & Jay Electronica)
JAY-Z;Picasso Baby - Album Version (Explicit)
Van Morrison;Wild Children
Max Richter;Written On The Sky
ClickClickDecker;Die Aufgabe davor und die Abgabe danach
Empire of the Sun;I'll Be Around
Rudimental;Not Giving In (feat. John Newman & Alex Clare)
Nujabes;Sky is Falling Featuring CL Smooth
Nujabes;Mystline
Macklemore & Ryan Lewis;Same Love (feat. Mary Lambert)
Maxim;Meine Soldaten
Childish Gambino;Hold You Down
FKA twigs;Water Me
Fort Romeau;Stay True
