Interpret;Titel
Nu:Logic;What I've Always Waiting For
Grown Folk;Keep Few Near
Iron Curtis;Horses (Move D Remix)
James Blake feat. RZA;Take A Fall For Me
Beacon;Between The Waves
The Black Angels;Always Maybe
Bonobo;Cirrus
The Knife;Raging Lung
Vector Lovers;Simulant
Coco Bryce;Lucid
Locust;Fall For Me
Josh Wink;Balls
Wrongtom mMeets Deemas J;Superteng (Mo Matic Remix)
Ty;Knock Knock
Steve Mason feat. Mystro;More Money, More Fire
Umse;Wachstum
A.D.O.R;Let It All Hang Out
Spaceheads;Sun Radar
Joe Farrell;Canned Funk
Chris Carrier & Hector Moralez;Phillies Titan
Four Tet;For These Times
Chris Stamey;Anyway
Jacco Gardner;Clear The Air
PTTRNS;Healing
Phosphorescent;Ride On/Right On
Kurt Vile;Was All Talk
Pantman;Away With The Sun
Eva & Manu;Feet In The Water
James Blake;Overgrown
Beacon;Bring You Back
Deptford Goth;Years
Tyler, The Creator;Answer
Delicate Cycle;The Uncluded
