Interpret;Titel
CFCF;Strange Form Of Life
Sankt Otten;Im Himmel Angekommen
Washed Out;All I Know
Pure Bathing Culture;Twins
Craig David;Hypnotic
Mineo;Turn Out The Lights
Machinedrum;Rise N Fall
Die Goldenen Zitronen;Echohäuser
Birth Control;Gamma Ray
The Weeknd;Belong To The World
Blondes;Andrew
Machinedrum;Don't 1 2 Lose You
Beacon;Bring You Back
Champs;Down Like Gold
Mister And Mississippi;Calm
Temples;Colours To Life
Out Cold;All I Want
Magic Arm;Put Your Collar Up
Of Montreal;Raindrop In My Skull
Jacco Gardner;Clear The Air
Omar Souleyman;Wenu Wenu
Lewis James;All Or Nothing (LV Remix)
Makoto;Primitive
dBRm;We Are No-One You Know
Danny Byrd feat. Tanya Lacey;Golden Ticket
Mark System;Goodbye For Now My Love
S.P.Y. feat. Ian Shaw;What The Future Holds
Get With Me;Get With Me
The Wave Pictures;Unknown Title
Mum;When Girls Collide
Tristesse Contemporaire;Fire
