Interpret;Titel
Hybrid;I know
Mousse T;Libra
Gui Boratto;Arquipe´lago
Justus Köhnke;Love and dancing
Donna Regina;Secrets
Kraftwerk;Aerodynamik
New Order;Regret (Fire Island Mix)
Derrick Laro & Trinity;Don´t stop till You
Scritti Politti;Boom Boom Bap
Grace Jones;Private life (dub version)
DAF;Als wär´s das letzte mal
Sono;Blame /Terry Lee Brown Jr. Mix)
Mint Royale;The effect on me
La Düsseldorf;Silver cloud
Djuma Soundsystem;Les Djinns
Porcupine Tree;Even less
Pink Floyd;Money
Klee;Unsere Liebes
Extrabreit;Komm nach Hagen
Nalin & Kane;Live at Chrystal Palace
Rebecca Von Kalinowsky;Dance
Lemongrass;Bee
Ulrich Schnauss;Letter from home
Boards of Canada;Dayvan Cowboy
Console;By this river
Astrud Gilberto;Who needs forever
Whirlpool Productions;Cold song
Erdmöbel;Nah bei dir
Everything but the Girl;Low tide of the night.
