Interpret;Titel
Marvin Gaye;I Met A Little Girl
Sugarhill Gang;Rappers Delight
Blondie;Rapture
Rolf Zuckowsky und seine Freunde;Unsre Schule Hat Keine Segel
Grandmaster Flash & The Furious Five;The Message
Geier Sturzflug;Bruttosozialprodukt
Herbert Grönemeyer;Alkohol
Erste Allgemeine Verunsicherung;Geld Oder Leben
Stan Ridgway;Camouflage
Michael Jackson;Bad
N.W.A;Straight Outta Compton
Public Enemy;Fight the Power
Ice Cube;The Nigga Ya Love To Hate
Red Hot Chili Peppers;Give It Away
Cypress Hill;Hand On The Pump
EPMD;Crossover
Curse;I Won't Drown
Phat Kicks;Here Cum Tha Kicks
Nas;Half Time
Mobb Deep;Shook Ones Pt. 1
Jay-Z;Can I Live
Stieber Twins;1000 MC's
Freundeskreis;Leg Dein Ohr Auf Die Schiene Der Geschichte
Show & AG feat. O.C;Full Scale
The Lox;Recognize
Musiq Soulchild;Girl Next Door
Xavier Naidoo;Kein Königreich
Joachim Deutschland;Marie
Italo Reno & Germany;Kein Clubsong
Patrice;Gun
John Legend;P.D.A. (We Just Don't Care)
Kanye West;I Wonder
Curse feat. Miki;An Diesem Tag
Empire of the Sun;Walking On A Dream
The Achtung Achtung;Nicht Heut Nacht
