Interpret,Titel
Von Spar,Scotch & Chablis
Mat Playford & Tomas Malo,Flesh & Bones
F,Poka
Peter Van Hoesen,Irrational X
Florence + The Machine,Dogdays Are Over (Breakage Rmx)
The Tallest Man On Earth,Troubles Will Be Gone
Smoke Fairies,Devil In My Mind
Mgo,Yes (Bongo Disco Mix)
Altered Natives,I´m Sexy
Baobinga,Ride It
Bryan Ferry,One Night
Gorillaz,Glitter Freeze
Skream,Listening To The Records On My Wall
Klute,Autumn Stone
Four Tet,Love Cry
Gold Panda,Vanilla Minus
Teebs,Wind Loop
Flying Lotus,Zodiac Shit
Devonwho,Nimbus
Emerson , Lake And Palmer,Tarkus/Aquatarkus
MFP Feat. Sarah Linhares,Digital Love
Kode9 Feat. Space Ape,You Don´t Wash
Alex Chilton,Bangkok
DJ Food,African Rhythms (Tom Midleton Rmx)
OOoOO,Plains Is Hot
Baghdaddy,Hot Shit (Creep Rmx)
Serenah Maneesh,I Just Want To See Your Face
Ulrich Schnauss Vs Asobi Seksu,Strawberries (Ulrich Schnauss Rmx)
Tamaryn,Love Fade
Zola Jesus,Night
Paul White,Dance Scene
Tame Impala,It Isn´t Meant To Be
Roll Deep Feat. Jodie Connor,Good Times
Lindstroem & Christabelle,Baby Can´t Stop
