Interpret,Titel
Konono No 1,Makembe
Crazy Cousinz feat. Calista,Bongo Jam
Debruit,Congo Whoomp
Roska,Burn In Flames
Sleepy Sun,Marina
Sect,Man Of Wisdom
Sepalcure,The Warning
Kyle Hall,Kay Chunk
Joy Orbison,BRKLN CLLN
Noisia,Thursday
S.P.Y.,Feel The Music
S.P.Y.,Demon Seed (S.P.Y. Rmx)
Akira The Don Vs The Verve feat. Sage Francis,Slowdown Symphony
Professor Green,I Need You Tonight
Uner, Coyu & Edu Imbernon,Tres Es Three
LCD Soundsystem,All I Want
The Velvet Underground & Nico,I´m Waiting For The Man
The Droyds,Beat On The Brat
Headman,Private Show
LCD Soundsystem,Pow Pow
Ariel Pink´s Haunted Graffiti,Round & Round
Winston Tong,Broken English
Von Spar,Troops
VVV,Project Z
Sepalcure,Love Pressure
Blackpocket,U´re A Sta (Martyn Rmx)
James Teej,Monaco Villa
Sage Francis,Slow Man
Unkle,Follow Me Down
Burnski,Coming Home
Echologist,Slow Burn
The Black Dog,Business Car Park 9
