Interpret,Titel
John Lennon/Plastic Ono Band,Hold On
The Morning Benders,Pleasure Seighs
Holmes,Afar
Neva Dinova,Tryptophan
Bonobo,Stay The Same (instr.)
Au Revoir Simone,We Are Here (Silver Columns Rmx)
She Is Danger,Sun
Florence + The Machine,Dogdays Are Over (Breakage Rmx)
Magnetic Man,I Need Air
Jonas Kopp,Michigan Lake
Burial,UK Raver
Midland,Leitmotif
Tufan Demir,Quiet Days In A Room
Molecular Structures,Emo
Sepalcure,The Warning
George FitzGerald,Weakness
SCSI-9,Chasing Shadows (Yapacc Rmx)
M.I.A.,Teqkilla
The Roots feat. Joanna Newsom,Right On Doin´ It Again
Think Loud feat. Shuanise,U Gotta Find
Onra feat. Reggie B,High Hopes
Midland,Play The Game (Dexter Rmx)
La Roux,In For The Kill (Skream Vs Foamo Rmx)
Teenagers In Tokyo,End It Tonight
Ira Atari & Rampue,Dance In The Rain
Likhan,Boxin'
Danja Atari,A Love Song
Annuals,Eyes In The Darkness
M.I.A.,It Takes A Muscle
RSD/Rob Smith,Bristol Blades Rmx
Wolf Parade,Two men In New Tuxedos
Of Montreal,Coquet Coquette
Audision,Red Sky (Cardini/Burger Rmx)
Kasper Björke,Heaven (Prins Thomas Rmx)
