Interpret;Titel
Rogue Wave;California
Markus Guentner & La Grande Illusion;Baghira
Benjamin Brunn;Dot Obsession
Phonogenic;Subliminal Message
Curse;Herbstwind
The National;Daughters Of The Soho Riots
Franklin De Costa;Violett
Madonna;Jump
The National;The Geese Of Beverly Road
The Singing Adams;St. Thomas
Zero Crossing;My Foolish Dreams (Isolee Rmx)
The American Analog Set;She´s Half
Pellumair;Lucy
Piana;Beside Me
The National;Secret Meeting
Lloyd Cole;Music In A Foreign Language
Bikini Atoll;I Turned A Blind Eye
Rumpistol;Plus3Dub
Phunklarique;On A Higher Level
My Morning Jacket;Steam Engine
Film School;Plus One
The Drones;The Best You Can Believe In
Gravenhurst;Song From Under The Arches
Unknown Artist;It´s All About You (Howarths Bassline Mix)
Jammer + Skepta;I Do Me (Statik Rmx)
Roll Deep;Be Careful
Bozoo Bajou;Take It Slow (Seiji Rmx)
Scratch Massive;Girls On Top
