Interpret;Titel
Sam Prekop;C+F
Erdmöbel;Farbe, Der Man Schwer Einen Namen Geben Konnte
Laura Veirs;Through The Glow
Holopaw;3 – Shy – Cubs
Baby Shambles;East Of Eden
Devendra Banhart;I Feel Just Like A Child
Lindstrom & Prins Thomas;Pluke Or Pirk
The Brimstone Solar Radiation Band;Dead End Road Pt. 2
Röyksopp;49 Percent (Mandy Rmx)
The Juan Maclean;Give Me Every Little Thing
Gang Of Four;To HellWith Poverty (Go Home Productions)
DK 7;Life Is Everywhere
Lindstrom & Prins Thomas;Turkish Delight
Simon Baker;Human Mystery
Jackson & His Computer Band;Teen Beat Ocean
Deus;What We Talk About
Davide Cali;Freak Fable
Norken;It Might Have Been Rain
Misc.;Metroland
XIU XIU;Pox
Stephanie;Irresistible
Annie;My Heartbeat
Robots In Disguise;Get Paid (Robots In Disguise/I Am X Rmx)
Free Kitten;1, 2, 3
Robots In Disguise;You Really Got Me
Wolf Parade;Disco Sheets
Franz Ferdinand;Outsiders
Shout Out Louds;Shut Your Eyes
The Neon Judgement;Too Cold To Breathe (Vive La Fete Rmx)
Vive La Fete;Machine Sublime
The Aim Of Design Is To Define Space;Kippenberger
Arp Aubert;Actress
J.Rawls feat.Eric Roberson;Pleasure Before Pain
