Interpret;Titel
The War On Drugs;Best Night
His Clancyness;Hunting Men
Parquet Courts;He´s Seeing Paths
Prophets Of The South;Ek Maak Julle Dance
Helmut;Overcome
Rain Dog;Broken
Angel Olsen;Hi-Five
Damien Jurado;Silver Timothy
Marissa Nadler;Dead City Emily
Jarboe;The Never Deserting Shadow
Stephen Malkmus & The Jicks;J Smoov
Lee Bannon;Prime/Decent
Trevino;Another Lifetime
Jubei with Marcus Intalex feat. MC DRS;Tip The Scales
NC-17;Sex, Drugs, Lies, Alcohol & Video Tape
Dbridge;Little Things
Flaco;Waiting For Love
Insintesi;Roots ´n´ Culture (Levy Dub)
Nuclearchild;Don´t Touch
Jubei with J.Kenzo;Visions
Ashanti Vs Murlo;Movies (Murlo Refix)
Etherwood feat. Laurelle Robichaud;Unfolding
Keeno;Nocturne
Magnus Öström;Mary Jane Doesn´t Live Here Anymore
Moonface;Barbarian
Sampha;Too Much
Hexvessel;Woman Of Salem
Dego & Khaidi;Acting Up
Belle;Lapwing
James Vincent McMorrow;Cavalier
Joe Henderson;Lush Life
Katy B;5AM (Leftwing & Kody Remix)
