Interpret;Titel
Toro Y Moi;Say That
Lia Ices;Thousand Eyes
Bakradze;Letter
Thiago Franca Vs Tony Allen;In Da Masta
Sinkane;How We Be
Alexander Skancke feat. Hewrote;Found My Place (Vinny Villbass Tropical Mix)
Paul White;Where You Gonna Go
Lucky Elephant;Flipside Spring
Oracles;Melt Tonight
Caravan;Golf Girl
Wolf In Loveland;The Best Part
Ty Segall;The Clock
Trevino;Warmer
Ashworth & Kiwi;Alaska
Ashrae Fax;Hurricanes In A Jar
Claude;Claudius
Ultrademon;Try Faking It
Martin Hayes;Broken Memory
Bear In Heaven;Time Between
Protomartyr;Tarpeian Rock
Tre Mission;On Road
Les Sins;Bother
Leo Leal & Daniel Cantisani;Beautiful Stranger
The Asteroid # 4;The Windmill Of The Autumn Sky
Mirel Wagner;Oak Tree
Hailu Mergia & The Walias Band;Tche Belew
Nana Love;I´m In Love
Robyn;Tell You (Today)
I Want It;Locussolus
Wildest Dreams;Pleasure Swell
Silk Rhodes;Pains
Buttering Trio;Mean To Me
Nite Jewel;Autograph
Lost Midas;Off The Course
Rustie;Dream On
Concord (Banshee Remix);Sully
Hey Girl (Sauce81 Rmx);Sleepin Giant
