Interpret;Titel
Blaue Blume;In Disco Lights
Pure Bathing Culture;Twins
Lowly;Daydreamers
Washed Out;Don´t Give Up
White Hex;Paradise
Lone;Meeker Warm Energy
Tender Games;Lost
Maria Minerva;Wolves & Lambs
Jerome Lol feat. Angelina Lucero;Fool
VÖK;Eg Bid Pin
Samaris;Lifsins Olgusjor
Revere;A Road From A Flood
First Aid Kit;Stay Gold
Lust For Youth;Running
Phantogram;Fall In Love
Lone;First Born Seconds
Slugabed;Pure El Nino Vibes
Martyn;Glassbeadgames
Glitterbug;1st Of July
Tom Vek;Broke
Sabina;Sailor´s Daughter
Jack White;Three Women
Mister And Mississippi;Same Room, Different House
Glass Animals;Pools
Slugabed;Another Chance 2k14
Kate Tempest;Circles
Dave Aju;Nu Threads
Bobmo;When I Look
Matthewdavid;The Mood Is Right
Napolian;I´m Yours
Copeland;Fit 1
Tomas Barfod feat. Nina K.;Aftermath
Tomas Barfod feat. Sleep Party People;Honey
Datashock;Rubinregen Aus Der Spirituellen
