Interpret;Titel
The Lieblings;It's All Gonna Fall
Menace Beach;Fortune Teller
Giganta;Can't Stop Playing
Rüfüs;Desert Night (Groundislava Remix)
The War On Drugs;Under The Pressure
Young Hare;Isla Nubla
Colourmusic;Silvertape
Amit;I'll Cut You Down
Caski;Rare Groove
Shanti Celeste;Days Like This
Ben Sun & Mic Newman;Fall Upon You
Lockah;If Loving You Is Wrong, I Don't Want To Be Wrong
DvE;She's Bad (Joakim Remix)
Metronomy;The Upsetter
Admin;Daze & Night
Rocketnumbernine;Matthew & Toby (Four Tet Remix)
Mo Kolours;Little Brown Dog
My Panda Shall Fly;SSIM
Elbow;Change
Peshay;Generation
Death;We Are Only People
Israel Nash Gripka;Fool's Gold
The Soft Hills;White Queen
Beck;Morning
New Burns;It's The Way
Bear's Den;Sophie
Fairport Convention;Tale In Hard Time
Metronomy;The Most Immaculate Haircut
Linda Perhacs;Parallelograms
Devendra Banhart;This Is The Way
Tyrannosaurus Rex;The Seal Of Seasons
New Burns;Your Bullshit
Starwalker;Losers Can Win
