Interpret;Titel
The Herbaliser;Return Of The Seven
The Brian Jonestown Massacre;What You Isn´t
Middlewood Sessions;Morning Star
Mark de Clive-Lowe feat. John Robinson;The Mission
Electric Wire Hustle;If These Are The Last Days (Eliphino Remix)
We Are Shining;Killing
Kode9;Xingfu Lu (Helix Remix)
Tom Vek;Sherman (Animals In The Jungle)
Parquet Courts;Always Back In Town
Submotion Orchestra;Thousand Yard Stare
Makoto;Primitive
Taylor McFerrin feat. Robert Glasper & Thundercat;Already There
Sabina;Viva L´Amour
Don Cherry;I Walk
Blitz The Ambassador;Success
Black Attack;My Crown
Passport;Uranus
Titeknots;Bad Guys Won
Dave Aju;Clean St.
Hercules & Love Affair;The Key
Venetian Snares;10th Circle Of Winnipeg
Mark de Clive-Lowe feat. TheeKIDICARUS;Sun Up Sun Down
Bob Mould;Forgiveness
Mile Me Deaf;Artificial
Wooden Wand;Dam Building
Mikkel Meyer;Rosie
Tomas Barfod feat. Sleep Party People;Honey
Wild Beasts;A Simple Beautiful Truth (Lone Rmx)
Shinedoe feat. Karin Dreijer;Discourse My New Romance
Rawaat;Exp 2
Gerry Read;Socialize
Peter Herbolzheimer;That Ol´ Bus Smell
