Interpret;Titel
Canned Heat;On The Road Again
The Pop Group;We Are Time
The Stranglers;Peaches
Uglyink;Fresh Out The Water
Dogmatikers Elfen;Danke, Gut
Count Bass-D;Avocado
The Congos;Congo Man
Waylon Jennings;Lonesome, On?ry And Mean
Wildest Dreams;405
Sal Valentino;Friends And Lovers
Dakota Suite;Flat Seat
Prefab Sprout;Green Isaac
Dan Hicks;Cruizin
Chuck Jackson;I Only Get This Feeling
Montage;Desiree
The Slits;FM
Anno Stamm;That Kid From Newport
Dorian Concept;Draft Culture
Sailor & I;Turn Around
Cola & Jimmu;Open Up Your Chakra
Sleaford Mods;Fizzy
Camera;From The Outside
Bar;Adios
Brother D;How We Gonna Make The Black Nation Rise
Justin Vandervolgen;Trof In Edit
Womaca;Ciranda
Prince Blackman;Rockers Delight
Little Feat;Spanish Moon
Sinkane;New Name
Cortex;Stand & Move
Owen Pallett;Song For Five And Six
Felix;Tiger Stripes
Cola & Jimmu;You Keep Me Working
The Robert DeCormier Singers;Kisses Sweeter Than Wine
Gram Parsons;In My Hour Of Darkness
Sasac;Doris
Michael Rother;Flammende Herzen
America;A Horse With No Name
