Interpret;Titel
Submerse;Tapes
Peshay feat. Passion;The Real Thing
BOP feat. Elsa Esmeralda;Lucid Dreaming
Zed Bias feat. Falty DL;Lucid Dreams
Tre Mission;On Road
Common feat. Vince Staples;Out On Bond
Paul White;Honey Cats
Digable Planets;Rebirth Of Slick (Cool Like Dat)
FKA twigs;Numbers
Falty DL;Heart & Soul
Sieren;Reveal
Dan Croll;Compliment Your Soul
Rodney P feat. Harleighblue & Renegade Brass Band;Success
Electric Wire Hustle;Look In The Sky
Electric Wire Hustle;If These Are The Last Days (Eliphino Rmx)
The Far Out Monster Disco Orchestra;Dead Dance (LTJ Experience Remix)
Trampled By Turtles;Hollow
Angus & Julia Stone;Other Things
New Bums;It´s The Way
Beck;Heavens Ladder
Pixelord;Polygon Fane
Submerse;Fumes
Hudson Mohawke;Chimes
Ikonika;Megachurch (Perc Remix)
Tre Mission;In The Hallway
Kalipo;Yaruto (midimum Rmx)
Rodriguez Jr.;Persistence Of Vision
Shabazz Palaces;Ishmael
Shabazz Palaces;?Down 155th In The MCM Snorkel
Vesper Town;Fancy (VIP)
Die Sterne;Mein Sonnenschirm Umspannt Die Welt
The John Steel Singers;Never Read Tolstoy
Trans Am;Insufficiently Breathless
