Artist;Track
Frank Ocean;Pyramids
Sofie Royer;Baker Miller Pink
Lil Silva feat. Skiifall;What if?
Not The Twos;Paradise
Chance The Rapper feat. Joey Bada$$;The Highs And The Lows
Spacey Jane;Sitting Up
Aya Nakamura;Méchante
Loyle Carner;HATE
Schorl3;Jesus 2
Kid Cudi;Do What I Want
Kokoroko;Age Of Ascent
nothhingspecial;If I Could I Would
Emotional Oranges;Make Me Wanna
Westside Boogie feat. Mamii;Nonchalant
Pashanim;Kleiner Prinz
Soft Saints;Black Dog
Raury;Heatwave
KeKe;Intro
Persian Empire;3 Options
Steve Lacy;Bad Habit
Lana Del Rey, Father John Misty;Daddy‘s Rendezvous
High Vis;Fever Dream
Poolside;Harvest Moon (Roosevelt Remix)
Bicep;Meli (II)
Brenda Blitz;1000 Kilobyte
Men I Trust;Hard To Let Go
Giant Rooks;Morning Blue
Brent Faiyaz feat. Drake, The Neptunes;Wasting Time
Stimulator Jones;Arrive
Levin Liam;Jahre Her
fka twigs;Killer
Yard Act;100% Endurance
Kytes, Digitalism;Hula-Hoop
History Of Sugar;Imposters
Pharrell Williams feat. 21 Savage, Tyler, The Creator;Cash In, Cash Out
Kraftklub feat. Tokio Hotel;Fahr’ Mit Mir (4x4)
Automatic;Skyscraper
makko;Leben ist zu kurz, um Angst zu haben
The 1975;Part Of The Band
Frank Ocean feat. André 3000;Pink Matter
