Artist;Track
Kellen 303;Life´s Different Now
Etch;Pluto´s Groove
Jasper Tygner;Blush
Benjamin Fröhlich feat. Vilja Larjosto;Roundabout
Prins Thomas;Kjære Mamma
Alex Cameron;Best Life
Alex Cameron feat. Jason Williamson;Oxy Music
Tom VR;Soared Straight Through (Kareem Ali Rmx)
Diplo & TSHA feat. Kareen Lomax;Let You Go
Kabuki;Keyed Out
Black Doldrums;Dreamcatcher
Curses feat. Jennifer Touch;Boundless
Perel;Spuistraat
The Districts;Do It Over
My Idea;Cry Mfer
Bodega;C.I.R.P.
Methyl Ethel;Neon Chap
Hot Flash Heat Wave;Vampires
Jenny Hval;Classic Objects
Dominik Eulberg;Braunkehlchen
Weval;Minute By Minute
Jenny Hval;The Revolution Will Not Be Owned
Fatima & Joe Armon – Jones;#1
Kojey Radical feat. Rexx Life Raj;Solo
Lil Durk feat. Future;Petty Too
Busty And The Bass feat. Cadence Weapon;Airplanes
A.D.O.R.;Let It All Hang Out
Delvon Lamarr Organ Trio;Keeo On Keepin´ On
Midlake;Feast Of Carrion
Two Medicine;Gold
M4A4;GM Baby
Nteibint;True (Boombass Rmx)
Catz ´n Dogz feat. Megane Mercury;Kiki (Solomun Rmx)
