Artist;Track
Crosby, Stills, Nash & Young;Carry On
the group;Summer Is Calling (Matt B House Mix)
DJ Counselling;Kite Day
Heron Flow;Do 2 U
dBridge;Little Things
DRS, Duskee & Disrupta;Waiting To Go
James Last;Fantasy
Joey Bada$$;Zipcodes
Danger Mouse & Black Thought feat. Michael Kiwanuka;Aquamarine
Ghost Woman;Do You
Bonny Light Horseman;Summer DReam
Dreamcastmoe;RU Ready
Spacemoth;UFObird
Glok;Dirty Hugs (Richard Sen Rmx)
Working Men´s Club;Valleys
Working Men´s Club;Ploy
Wet Leg;Too Late Now (Soulwax Rmx)
PVA;Hero Man
UNIIQU3;Microdosing (Conducta Rmx)
Lewsberg;Six Hills
DC Gore;I Like You
Blade;Keep It Goin´ On
Pretty Lightning;The Slow Grinder
Steven Simpson;Lovedance
Vertical Cat;Moss
Bicep;Meli (II)
Jochen Distelmeyer;Tanz Mit Mir
Dawes;Comes In Waves
Jack White;I´ve Got You Surrounded (With My Love)
Wenn einer lügt dann Wir;Bayern
Gwenno;N.Y.C.A.W.
