Artist;Track
Ocean Colour Scene;You Drive Away
Foo Fighters;Waiting On A War
Because Of Art feat. Ayah Marar;Close
Joy Orbison;Pinky Ring
Mr. Sosa;Joy Of Pain
Mr. Sosa;Flowers In Bloom
Cypress Hill;Come With Me
Denzel Curry;Worst Comes To Worst
Fooks Nihil;Terno
Quilt;Passersby
Ghost Woman;Behind Your Eyes
Rema;Dirty
Blond:ish, Francis Mercier & Amadou&Mariam;Sete
Barrie;Frankie
Working Men´s Club;Widow
PVA;Divine Intervention
My Idea;Cry Mfer
Folly Group;I Raise You (The Price Of Your Head)
Folly Group;Paying The Price
Technicolour;The Counting Tune
Dynamite MC feat. Danny Byrd;Hit That
Lally & Lens;Love The Way
Alix Perez feat. Verbz;Stayed The Same
Rosalia;Bulerias
Get Well Soon;My Home Is My Heart
Jitwam;Brooklyn Ballers
Arcade Fire;The Lightning I, II
Donatello;Mystery
Prins Thomas;Take Over Fjorden
Kasablanca;Immunity
Papercuts;Lodger
Vomit Heat;Dematerialize
Stella;Chamed
Aldous Harding;Lawn
Dissy;Zukunft
Dissy;Arbeit
