Artist;Track
Kuedo;Time Glide
Joe Armon-Jones & Mala;What It Is
Megan Thee Stallion feat. Future;Pressurelicious
Odesza;Behind The Sun
Satin Jackets feat. Panama;Move On
Beyonce;Cozy
Beyonce;Alien Superstar
Ekkstacy;Wish I Was Dead
The Cure;Purple Haze
Acid Klaus;Nightclub Marilyn
Kratzen;Glauben
Will Miles;No Cover
Heron Flow;Do 2 U
Viagra Boys;Troglodyte
Working Men´s Club;Cut
Silverclub;Crash This Car
Joy Club;Where´s This Love
Splonie;Do It To Me
Linguistics;Kid With A Lion´s Heart
Subten, Harry Shotta & Eloquin;Televised
Spacemoth;Asking For You
Sam Prekop & John McEntire;Crossing At The Shallow
Nina Kraviz;This Time (Four Tet Rmx)
Krust;Negative Returns (Four Tet Rmx)
Seba;Nichoho
Shygirl;Coochie
DC Gore;I Like You
Dinner;Turn Me On
Earth Boys;Freight
Wilder Maker;All Power Must Remain Hidden
Shatten;Loecher Im Himmel
Love A;Will Und Kann Nicht mehr
Wombo;Fairy Rust
DC Gore;Nietzsche On The Beach
Patrick Holland;Losing Touch
