Artist;Track
Automatic;Skyscaper
HAAi feat. Alexis Taylor;Biggest Mood Ever
The KVB;Structural Index (The KVB After-Hours Version)
The Stone Roses;Fools Gold
Aitch;1989
Social State;Logodrama
Joakim;Formosan Rock (Buttechno Rmx)
The Moonlandingz;Black Hanz
Depeche Mode;Route 66 (Beatmasters Rmx)
Acid Klaus feat. Maria Uzor;Party Sized Away Day
Mura Masa feat. Pa Salieur & Skillibeng;Blessing Me
PVA;Talks (DJ Dairy´s Buffer Shuffler Rmx)
PVA;Untethered
Black Midi;Welcome To Hell
HAAi & Jon Hopkins;Baby, We´re Ascending
HAAi, Kai-Isaiah Jamal & Obi Franky;Human Sound
Bing;As Ever
Horsegirl;Anti-Glory
Dreamcastmoe;RU Ready
Wilco;Many Worlds
Tosca;Clean Up
DC Gore;I Like You
Little Cub;Too Much Love
Die Kerzen;Zu Schön
The Who;Magic BUs
Liam Gallagher;World´s In Need
Oasis;My Generation
Die Toten Hosen;Liebesspieler
Manic Street Preachers;Motown Junk
Special Interest;(Herman´s ) House
Kiko & POPOF;Night Sky (Yulia Niko Rmx)
Jeshi;Killing Me Slowly
IDK feat. Mike Dimes;The Code
