Artist;Track
Binary State;New Being
Joy Club;Where´s This Love
Trentemöller;No More Kissing In The Rain
Arp Nova & Silence Groove;Mauve
Heron Flow;Do 2 U
Lewsberg;Six Hills
The KVB;Structural Index (The KVB After-Hours Version)
Lyschko;Hysterie + Abfall
Rauchen;Schlüsselkind
Regina Spektor;Spacetime Fairytale
Acid Klaus;Bad Club Bad Drugs Bad People
The Shamen;Ebeneezer Good
Wet Leg;Too Late Now (Soulwax Rmx)
Kratzen;Glauben
Regularfantasy;Hot Gossip
Alex Cameron feat. Jason Williamson;Oxy Music
K-Trap;Spoilt
Arctic Monkeys;There´d Better Be A Mirrorball
The Cool Greenhouse;Hard Rock Potato
4am Kru;Pianos Raining Down
Michael Cignarale;She Takes Me Over
PVA;Untethered
DC Gore;I Like You
Fehlfarben;Der Letzte Traum
Rosalia;Bizcochito
Trish Clowes;A View With A Room
Wu-Lu feat. Lex Amor;South
Ash Ra Tempel;Suche & LIebe
Cigarettes After Sex;Pistol
Rote Mütze Raphi & Art;Überall Nur Du
Neil Young With Crazy Horse;Chevrolet
