Artist;Track
Yasu;Fly-Day Chinatown
Paramore;This Is Why
Oliver Sim;Romance With A Memory
Priya Ragu;Adalam Va!
Die Nerven;ALLES REGULIERT SICH SELBST
Die Nerven;ICH STERBE JEDEN TAG IN DEUTSCHLAND
Fred again..;Kammy (like i do)
easy life;FORTUNE COOKIE
Yeah Yeah Yeahs;Fleez
Kid Cudi;Do What I Want
Rosa Walton;I Really Want to Stay at Your House
Pabst;Daddy's Boy
WILLOW;curious/furious
WILLOW;ur a <stranger>
Jurassic 5;If You Only Knew
Alex G;Runner
Bicep;Water
Rina Sawayama;Holy (Til You Let Me Go)
Karpe;PAF.no
Fieh;Fast Food
Honningbarna;En av oss er idiot
The Beths;Silence Is Golden
Betterov;Schlaf gut
Opus Kink;- St. Paul of the Tarantulas
Otoboke Beaver;Chu Chu Song
MC Yallah;Kubali
NNAMDÏ;I Don't Wanna Be Famous
NNAMDÏ;ANXIOUS EATER
Brutus;What Have We Done
Ásgeir;Borderland
Polyphia;ABC (feat. Sophia Black)
bbno$;top gun
Dayglow;Second Nature
Antje Schomaker;Ich Muss Gar Nichts
tricot;言い尽くすトークします間も無く
Connie Constance;Hurt You
Men I Trust;Billie Toppy
Fever Ray;What They Call Us
Daphn;Take Two
VIBE CHECK 95;Back to the Disco
The 1975;All I Need To Hear
Ginger Root;Loneliness
Asian Glow;The Flag Is Raised
Tindersticks;Stars at Noon
Hannah Jadagu;Say It Now
