Artist;Track
Danny B;Love Is
French The Kid;Make It Out
Beam;Win
Yellow Note;This Is War
Yellow Note;The Journey Pt. 1
Godspeed You Black Emperor;The Dead Flag Blues
Bon Voyage Organisation;Naima
Dominik Eulberg;Goldregenpfeifer
Joakim;Fantomes
Satin Jackets;Don´t Worry
Hex Editor;Blush
Bob Moses;Seen It Coming
Bodega;Territorial
Je T´aime;Marble Heroes
Goose;World Party
Alex Cameron;Best Life
Aili;Glamorous
Diplo & Mele feat. Busta Rhymes;Right 2 Left
Diplo & Seth Troxler feat. Desire;Waiting For You
Jon Spencer & The HITmakers;Worm Town
Chelsea Jade;Good Taste
Wilma Vritra;One Under
Bullion;Speed
The Districts;Outlaw Love
Sieren;Depth Compression
Hugo Massien;Fast Forward
Pneumatic Tubes;Mumbly-Peg
Brian Auger;Maiden Voyage
Robert Glasper feat. Esperanza Spalding;Why We Speak
Bon Voyage Organisation;Les Pêcheurs
Westerman;Blue Comanche
Nilüfer Yanya;Shameless
Nilüfer Yanya;The Dealer
Florence Besch;Pink
Subterfuge;Stephanie Said
