Artist;Track
The Mars Volta;Black Condolences
Bibio;Off Goes The Light
Jennifer Vanilla;Jennifer Pastoral
Lyzza;Mind 2 Lips
Bamao Yendé;Call Me
Whitney;Twirl
Ela Minus & DJ Python;Kiss You
Skalpel;Momentum
wavvyboi;Halloween
Snarky Puppy;Bet
Dreamcastmoe;Much More
Josh Gregg;War
Gabe Gurnsey;You Remind Me
PVA;Bunker
The Mysterines;All These Things
Isaiah;OMW
Bo Hansson;Lothlorien
Peanut Butter Wolf;Breaks Em Down
Pink Siifu & Real Bad Man feat. Armand Hammer & Conquest Tony Phillips;Tokyo Blunts
Wheel Up feat. Kaidi Tatham & Brint Story;More Love
Danny Goliger;FYT
Moritz Ley;Du Fehlst Mir
Blue Hawaii;L.O.V.E
Kelela;Washed Away
Solo & Blades;Midhaven
TSHA feat. Clementine Douglas;Dancing In The Shadows
Die Sterne;Gleich Hinter Krefeld
NEU!;Super (Mogwai Rmx)
Sankt Otten;Hymne Der Melancholischen Programmierer
Kratzen;Glauben
Lewsberg;Six Hills
Kowalski;Zeit Der Hyänen
Sleepy Tom;This Thing Called Life
The Deepshakerz, Nhan Solo & DJ Vine;Hey Now
Guchon;Pool Room
