Artist;Track
Emscherkurve 77;Lieder Aus der Kurve
DC Gore;I Like You
Sublime;That Love Affair
Moderat;Neon Rats
OK Kid;Es Regnet Hirn
Yaya Bey;Reprise
Palmskin Productions;Sea Glass
Kendrick Lamar feat. Blxst & Amanda Reifer;Die Hard
IDK feat. Kaytranada;Dog Food
Blxst feat. Grandmaster Vic;Pick Your Poison
Kurt Vile;Chazzy Don´t Mind
Brendan Coleman;Be With You
Kevin Morby;A Coat Of Butterflies
Jeff Buckley;Hallelujah
Warpaint;Altar
Believe;I Want To Be (HAAi Rmx)
Phantoms;This Can´t Be Everything
HAAi feat. Jon Hopkins;Baby, We´re Ascending
Moderat;Drum Glow
Jabru;Shelter
Leikeli47;Secret Service
Kendrick Lamar feat. Summer Walker & Ghostface Killah;Purple Hearts
Bloodflowers;Trance
Vomit Heat;I´m Over You
Richie Blacker;Unified
Fabrice Lig;Echoes From Fujiyama
The Black Keys feat. Billy F Gibbons;Good Love
Cederic Burnside;Step In
Florence + The Machine;Dream Girl Evil
Florence + The Machine;Choreomania
Nikitch & Kuna Maze;Sauce Brazil
Ahadadream;Piano Skank
Dana Gavanski;Under The Sky
