Artist;Track
Brintex Collective;Whistle
Saphira;Lost
Tennis Pagan;Cost Price
Idea Therapy;Evry
Ibrahim Maalouf feat. JP Cooper;Back Home
Amtrac feat. Reva DeVito;Contrast
Kristin Velvet;Wanted Competition
AshRR;Fizzy (Felix Dickinson Rmx)
The Cool Greenhouse;Get Unjaded
Joyeria;Performance Review
The Haunted Youth;Teen Rebel
Crypticz;I Think I´m In Love With Living Again
Gold Panda;Plastic Future
Fracture;First Aid Kit
Blutch;Ley Yeux Orange
Superparka;(unconditional love)
96 Back;Lounge II
K-Trap feat. Skepta;Warm (Remix)
Drake & 21 Savage;On BS
John Paul;Unknown Title
Meryl Streek;False Apologies
Jesse Bru;Hard To Get
Kelvin Belton;Dub That Chord
Dumbo Tracks with Markus Acher;Everybody Knows
Andy Bell;Sidewinder (Claude Cooper Remix)
King Gizzard & The Lizard Wizard;Astroturf
Ezra Collective;Belonging
Andy Bell;She Calls The Tune (Acoustic Version)
Glok (Andy Bell);Irty Hugs (Richard Sen Rmx)
Art Alfie;Popstar
Damefrisör;Horizon
LIV Alma;Peeling
