Artist;Track
Usher;You Make Me Wanna
Whitney;Memory
Whitney;Nothing Remains
Kid Cudi;New Mode
George Fitzgerald;Passed Tense
Bibio;Off Goes The Light
Mura Masa & Bayli;Demon Time
Mura Masa feat. Shygirl & Channel Tres;Hollaback Bitch
Floating Points;Problems
Four Tet;Mango Feedback
Jamie XX;Kill Dem
Mount Kimbie feat. Kučka;F1 Racer
Bonobo;ATK
Fred Again…;Danielle (Smile On My Face)
Joy Orbison & Overmono;Blind Date
Death Cab For Cutie;I Don’t Know How To Survive
Death Cab For Cutie;Foxglove Through The Clearcut
Little Dragon;Frisco
Fardust;Avocado
Sampa The Great;Shadows
YG, J. Cole, Moneybagg Yo;Scared Money
YG feat. H.E.R.;Go Dumb
Becky Sikasa;The Edge
Greentea Peng;Stuck In The Middle
High Vis;Trauma Bonds
Kelela;Washed Away
Catching Flies;Oi
Soft Saints;Gravel Pit
GoGo Penguin;Erased By Sunlight
Dorian Concept;Let It All Go
Khruangbin & Vieux Farka Touré;Savanne
Rochelle Jordan;All Along (Kaytranada Remix)
Pashanim;Marseille
Louis Cole;Dead Inside Shuffle
The War On Drugs;Oceans Darkness
Persian Empire;NAZIS TÖTEN
TSHA;Running
Teebs feat. Panda Bear;Did It Again
Kiefer & Braxton Cook;U Already Know
Usher;Nice & Slow
