Artist;Track
Liam Gallagher;C´mon You Know
Low Hummer;Talk Shows
Lawn Chair;Men With Shifty Eyes
Brockhoff;Sharks
Donkey Kid;Necklace
The Cool Greenhouse;Hard Rock Potato
Nashi44;Asia Box
Hinterlandgang;Dorfstrasse
Fluppe;Seerosenräuber
Blue DeTiger & Biig Piig;Crash Course
Avaion, PaulWetz & Nu Aspect;Sleepless
Joda;Shape Of Your Heart
Lyschko;Hysterie + Abfall
Rauchen;Schlüsselkind
Ditz;Summer Of The Shark
cumgirl8;Bugs
Kerfor;Sag Schon
The Bad Plus;You Won´t See Me Before I Come Back
Tamino;The Longing
Tamino;Fascination
Steintor Herrenchor;Postkarten
Kraftklub;Teil Dieser Band
Henry Franklin, Adrian Younge, Ali Shaheed Muhammad;Feedback
The Fall;Bill Is Dead
Superpitcher Meets Repeat Orchestra;Monks In A Club
Jesus On Extasy;Clocks
Stone;Radio Ready
Kratzen;Unten
Kratzen;Glauben
Ekkstacy;I Want To Die In Your Arms
Powerplush;Nothing Left To Lose
The Tallest Man On Earth;Too Late For Edelweiss
Tim Burgess;Flamingo
