Artist;Track
Flume, Oklou, Prospa;Highest Building (Prospa Remix)
Steve Lacy feat. Foushée;Sunshine
Calvin Harris, Pharrell Williams, Justin Timberlake, Halsey;Stay With Me
Lawn Chair;Vacancy Sign
Sam Fender;Alright
Lizzo;Coldplay
Shark Tank;Busy
Phoenix;Alpha Zulu
Interpol;Passenger
Mikky Blanco;French Lessons
Christine & The Queens;Je te vois enfin
Oliver Sim;GMT
Megaloh, Rhymezi Tunes;Statement
Wet Leg;Too Late Now (Soulwax Remix)
Wet;Turn The Lights Down Low
Badbadnotgood, Lil Silva;To The Floor
Superorganism, Dilan Cartlidge, Steven Malkmus;It´s Raining
Omah Lay;Understand
RIN;Lola rennt
Black Midi;Welcome To Hell
Whoiswelanski;Here We Go
Ferdinand fka leftboy;Ohne Dir
Beabadoobee;Beatopia Cultsong
Southstar;Miss You
Malugi;Zizou
Nothingspecial;If I Could I Would
Ruede Hagelstein, Adam Ten;Shai (Adam Ten Remix)
Cassie;Fits Together
The Mars Volta;Graveyard Love
Gayance, KALLITECHNIS, Gapappa;Sirens
Gwenno;Tresor
Danger Mouse;Aquamarine feat. Michael Kiwanuka & Black Thought
Neil Frances, Psychic Mirrors;Dancing (Psychic Mirrors Remix)
Four Tet;Scythe Master
So Soon;Then
Liam Mour;Pure Puma
Joey Bada$$;Zipcodes
Santigold;Nothing
Ásgeir;Snowblind
SOHN;Segre
Silk;I Can`t Stop (Turning You On)
Röyksopp, Alison Goldfrapp, &me;Impossible (&me Remix)
Coldplay;Don´t Panic
