Artist;Track
Phantoms;This Can´t Be verything
Kuedo;Time Glide
MRK1;Stardust
Caspa;Cockney Violin
K-Trap;Rolling
Dark0;Gaia
SZA;Low
SZA;Good Days
M.Byrd;Flood
The War On Drugs;Harmonia´s Dream
Morton & Laaf;P-Funk Maniac
Wilder Maker;Letter Of Apology
Mochakk;Respirando
Armand Van Helden & Karen Harding;Wings (I Won´t Let You Down
Bye Beneco;Daddy´s Gone
Kero Kero Benito;Well Rested
Pleasure Pool;Modern Nature
Ist Ist;Stamp You Out
The Boysox;Behind These Walls
Philip Catherine;Five Thousand Policemen
Caroline Polachek;Sunset
The Bollock Brothers;Where´s My Girl
Mark Knight & Lukas Setto;Get With You Tonight (Jay Vegas Disco Dub Edit)
My Idea;Cry Mfer
AB + DA;DNA
Fun-Da-ental;Mother India
The Düsseldorf Düsterboys;Lavendeltreppen
Need For Mirrors;Mourning Tune
GLXY;Dreamers
Dutch Uncles;True Entertainment
Die Kerzen;Küss Mich Noch Mal
Tamino;Fascination
Weyes Blood;Children Of The Empire
Maya Jane Coles feat. Movie Knox;Freefall
Cigarettes After Sex;Pistol
