Artist;Track
Spring;The Prisoner (Eight By Ten)
Kristine Leschper;Picture Window
Jose Gonzalez;El Invento (Sofia Kourtesis Rmx)
Rema feat. AJ Tracey;FYN
Scratcha DVA feat. DemiMa;Siyobonga
Sudan Archives;Home Maker
Longhair;Sponge Bob
Cristina Lazic;Mirror
Cut_;The Edge
Peter Doherty & Frederic Lo;Rock & Roll Alchemy
Peter Doherty & Frederic Lo;You Can´t Keep It From Me Forever
Annie Hamilton;Night Off
Methyl Ethel;Neon Chap
Rosalia;Saoko
Guerilla Toss;Wild Fantasy
Radio Slave & DJ Hell;Let´s Misbhv
Ilyes;Wait For It
Charli XCX;Baby
Ebow;Shy
Girls Of The Internet;Love Again
Midlake;Dawning
Jerry Leger;Wait A Little Longer
Jerry Leger;Nothing Pressing
Moonchild Sanelly feat. Ghetts;Strip Club
The Science;Come By The River (Om Unit Rmx)
Cypress Hill;Open Ya Mind
Bodysync feat. Devin Morrison;Japan
Tibi Dabo;Isla
alt-J;Hard Drive Gold (Maya Jane Coles Rmx)
Blue States;Tides Confusion
Infant Finches;Over Peculiar
Ebow;Prada Bag
Rosalia feat. The Weeknd;La Fama
Makoto feat. Degs;Explorer
