Artist;Track
Beyoncé;Break My Soul
Jungle;Problemz
Eugénie;Tears For Breakfast
Drake;Massive
Drake;Texts Go Green
Soft Saints;Windbells
Al-Doms feat. Pusha T;HAHA
Calvin Harris feat. 21 Savage;New Money
Mura Masa, Shygirl, Channel Tres;Hollaback Bitch
Elvis Presley;Edge Of Reality (Tame Impala Remix)
Braxe + Falcon, Sunni Colón;Elevation
Gorillaz feat. Thundercat;Cracker Island
Omah Lay, Justin Bieber;Attention (Disclosure Remix)
070 Shake;Skin and Bones
ΣTELLA, Redinho;Up And Away
Flying Lotus, Devin Tracey;The Room
Dillon;<3core
TSHA, Mafro;Giving Up (Extended Version)
Obli;Too Far
Christine and The Queens;Je Te Vois Enfin
Giveon;Let Me Go
Phoenix;Alpha Zulu
Logic feat. Like, Blu & Exile;Orville
Cassia;16-18 (Why You Lacking Energy?) (MYD Remix)
Angel Olsen;All The Good Times
Foals;2am
Post Malone;New Recording 12, Jan 3, 2020
SZA;Love Galore (Alt Version)
Kadhja Bonet;JGS
SBTRKT;BODMIN MOOR
Shacke One;Papi Chulo
Becky Sikasa;Learning
Mona Yim;Gotta Do This, Gurl
Calvin Harris feat. Dua Lipa, Young Thug;Potion
High Vis;Talk For Hours
Yaya Bey;Big Daddy Ya
Yaya Bey;Keisha
LF System;Afraid To Feel
Totally Enormous Extinct Dinosaurs;The Sleeper
Horsegirl;Anti-Glory
Ry X;Dark Room Dancing
Brent Faiyaz;Price Of Fame
