Artist;Track
Priori;Winged (Aurora Halal Remix)
Trentemøller;No More Kissing In The Rain
I Like Trains;The Truth
Scratcha DVA feat. DemiMa;Siyobonga
DJ Python;TMMD (IMMMD)
Typesun;Last Home (DJ Nature Remix)
Warpaint;Champion
Aaron Grav;All Green Freestyle
2 Chainz;Free B.G.
Kae Tempest;Salt Coast
John Barera & Paul Morse;Eternal Life
Adam Pits;Mineral Mine
Fuzzy Logik/Cooly G/ Audio Halls Beat Vs Cooly G;Cooly G DJ Mix
KTM;Agression
Trentemøller;Veil Of White
HVOB;Eyes Alive
Edwin Rosen;Vertigo
Yeule;Don´t Be So Hard On Your Own Beauty
Yeule;Eyes
Deer Scout;Cowboy
Kreidler;Revery
Caldera;One Last Glimpse
Dr. Feelgood;She Does It Right
Eels;Steam Engine
Silvershark;Burn To Boogie
Bastille;Plug In ………..
Nathalie Duchene;Praia (Yuksek Rmx)
Trentemøller;Dead Or Alive
Christin Nichols;Bielefeld
Lea Porcelain;Choirs To Heaven
Cate Le Bon;Moderation
Black Country, New Road;The Place Where We Inserted The Blade
Black Country, New Road;Chaos Space Marine
Animal Collective;Cherokee
