Interpret;Titel
My Morning Jacket ;It Makes No Difference
Beautiful People ;If 60´s Was 90´s
Laub ;Covering
Phonique feat. Erlend Oye ;Casualities
Zoo Brazil ;Kazaboo
Random trio Productions ;Haunted
Crooked One ;Annihilation
After Dark ;First Light
Junior Boys ;Double Shadow (Kode9 Rmx)
Makossa + Megablast ;Galaxy 82
Vice Versa ;Where It´s At
Nu Balance ;Bounce Back
High Contrast ;Green Screen
Merka ;What Now
Peter Herbolzheimer Rhythm Combination & Brass ;That Ol´ Bus Smell
Zenzile Soundsystem ;Mille Francs Mille Francs (Doctor L Rmx)
Gudrun Gut with Manon P.Duursma ;Pleasuretrain
Katie Wax ;Beetles & Spider (Ellen Allien & Apparat Rmx)
Honeymoon´s Over ;Nasty Girl
Snax ;Honeymoon´s Over
Khan ;You Like To Party?
Daniel Stefanik ;L.E.Avenues
Matthias Tanzmann ;Kutaisi
L-Wiz ;Sub
Niederflur ;Evtl
Erik Truffaz feat. Nya ;Trippin´ The Lovelight
Moskitoo ;Wham & Whammy
Dubchild ;Walk & Live
Peverelist ;Erstwhile Rhythm
Chick Corea ;Sometime Ago ? La Fiesta
Badun ;EF 10
Whistla ;My Father And I
