Interpret;Titel
The Gasman ;Cubicle
Herb Alpert & The Tijuana Brass ;Moments
Herman Dune ;This Summer
Antibalas ;Filibuster X
Grinderman ;Love Bomb
!!! ;Myth Takes
GB's ;Magic Touch
LCD Soundsystem ;Get Innocuous!
The Ones ;Flowless (ATOC-Remix)
Simian Mobile Disco ;I Believe
Tomboy ;Swan
Mountaineer ;Don't You Miss Her
Rjd2 ;Work It Out
Air ;Night Sight
Lemongrass ;Girl From Jupiter
Lemongrass ;Aloha
Aril Brikha ;Akire
The Vulva String Quartett ;Roundabout
Pole ;Düsseldorf
Distance ;Night Vision
Wonder ;Undertaker
D1 ;Firin' Blanks
Amon Düül ;Deutsch Nepal
Matzak ;Physical
Gang Gang Dance ;Egowar
Dälek ;Tarnished
Fujiya & Miyagi ;Cassettesingle
LCD Soundsystem ;Sound Of Silver
Can ;Oh Yeah
Cursor Miner ;The Sport Of Kings
Musiccargo ;Ernte 05
Drone ;Etherheart
