Interpret;Titel
Jean Michel;Carrer De L´Aurora
E.Stonji;Lektrn
Alter Ego;Fuckingham Palace
Bazeado;Segunda Feira (Bungle Rmx)
Makoto;Feels Like Heaven
High Contrast;Matamorphosis
Bazeado;Urubu No Telhado (MJ Cole Rmx)
The Royal We;All The Rage
Asobi Seksu;Strawberries (CSS Rmx)
Anna Domino;Take That
Kate Nash;Dickhead
Miss Fitz;Hawaii Via Miami (Ricardo Villalobos Rmx)
DZ;Slums Dub
Prins Thomas;Morning Dew
Harmonia;Über Ottenstein
Justus Köhncke;Feuerland
Gui Boratto;Beautiful Life (Sascha Funke Mix)
Prefuse 73;Beaten Thursdays
Flying Lotus;Massage Situation
Jean Grae;Take Me
Oddisee;The Answer
IAM;Tu Le Sais (Part 1)
Was Tun Band;Es Geht (Edit Version)
Pigon;Promises
Threat;Mundo
Devendra Banhart;The Other Woman
Chloe;Brashov
Seventeen Evergreen;Lunar One
The Brunettes;Stereo (Mono Mono)
