Interpret;Titel
The Electric Softparade;Shore Song
Creedence Clearwater Revival;Suzie Q
Boris with Michio Kurihara;Rainbow
Bill Callahan;Diamond Dancer
Unkle;Restless
Roisin Murphy;Overpowered
Marc Romboy Vs Blake Baxter;Underground Thang (Version 2)
Lawrence;Blow Up
Monoceros;Background Birds
Prince;Unknown Title
Mr Flash;Eagle Eyes
Mr Oizo;Mr Oizo Intra
Ambivalent;R U OK (Kaspar Is OK Rmx)
Mark Pritchard & Steve Spacek;Turn It On
Neil Landstrumm;Lung Dub (feat. Si Begg)
Last Step;You´re A Nice Girl
The Bug;Jah War (Loefah Rmx)
Sway;Baby Father
Marlow;Tremor
Upfull Rockers;Shot Down
Bungle;The Fugue
Nu:Tone feat. Commix;Take Me Back
Klute;Never Never
Okkervill River;Title Track
The Victorian English Gentlemens Club;La Mer
Burger/Voigt;Man Lebt Nur Zweimal
Komputer;Liquid Gold
Hexstatic;Roll Over (extended)
Maps;Elouise
Speaker Bite Me;Fistful Of Air
Metthew Dear;Don And Sherri
New Young Pony Club;The Bomb
New Young Pony Club;The Get Go
Downtown Mayors Goodnight, Alley Kids Rule!;You Say Party! We Say Die!
Jack Penate;On The Road
Seventeen Evergreen;Music Is The Wine
