Interpret;Titel
Supermayer ;The Lonesome King
Dave DK ;Sweet Yellow
D.Kay ;Golden Hands
Modeselektor feat. Otto von Schirach ;Hyper Hyper
New Young Pony Club ;The Get Go
Psychedelik Furs ;Heartbeat
Punks Jump Up ;Dance To Our Disco
Whitey ;Stay On The Outside
Supermayer ;The Art Of Letting Go
Shameless ;Flowers By The Roadside
Metro ;Brownstone Express
Deadbeat ;Refund Me
Matt Flores feat. Singer Jay ;Nice Day
Kirlian feat. Indio ;Who´s Got The Flave
Substance & Vainqueur ;Reverberate
Mista ;Elephant Juice
Bola ;Diamortem
VS_Price ;Fucking Phone
Kevin Ayers ;Baby Come Home
Kelley Polar ;My Beauty In The Moon
Swayzak ;No Sad Goodbyes
Abe Duque ;Outlook
The Emperor Machine ;Front Man (Idjut Boys Mix)
Lawrence ;Laid One
RSD ;Love Of Jah Light
L-WIZ ;Centurion
Kensuke Shiina ;Ring Of Fire
Prefuse 73 ;The Class Of 73 Bells
