Interpret;Titel
Maxwell Hunter;Got To Know
Joesef feat. Loyle Carner;I Wonder Why
Bénédicte feat. XGLARE;Drift
A92, Offica feat. Ksav, Nikz & Kebz;Go Low
Youngkilla73 & Chucky73;SaSu
Issam;Wjahna Deep
Mindy Meng Wang & Tim Shiel;Sleeping Tiger On The Bund
Behrang & Sean;Poshtesh Bahare (Samo DJ Remix)
Lawrence Lek;Call Of Beauty
Kode9;Rona City Blues
Battles;Carnaval Supremo (DJ Nigga Fox Rmx)
The Simps & Eyedress;On Fye
Heist;Celestial
T.R.A.C. feat. Level 2 & Christina Tamayo;Invisible Sounds (Random Movement Rmx)
T.R.A.C. feat. Unreal;Roarganic Symphony (L-Side Soul Mix)
Beat Merchants feat. Dan-I;Wah Gwan
White Denim;Shanalala
TV Priest;Press Gang
Arya Zappa;Cut Grass
Holly Humberstone;Vanilla
Bonobo & Totally Enormous Extinct Dinosaurs;Heartbreak (Kerri Chandler Remix)
Coldline;Bacon
Unknown Artist (John Dunk);Red Tarn
Rose City Band;Wee Hours
Cory Hanson;Paper Fog
Darkside;Liberty Bell
Maxwell Hunter feat. Masego & Dan Foster;Cynthia
Saweetie;Hot Boy
ES;If It Weren´t (Mystery Rmx)
Lawrence Lek;Deep Blue Monday
Veronika Harcsa/Anastasia Razvalyaeva/Marton Fenyves;Beau Soir
Vashti Bunyan;Turning Backs
Mary Lattimore;Hello From The Edge Of The World
Krust;Negative Returns (Four Tet Rmx)
Skuff;The Flood
Saweetie feat. Doja Cat;Best Friend
Golden Earring;Radar Love
Fontaines D.C.;A Hero´s Death
