Interpret;Titel
Keleketla!;International Love Affair
Jimi Tenor;Sugar And Spice
Spax;Mit Leib Und Seele (Jericho Version)
Siege MC;Plastic People
T.R.A.C.;The Making Of (Need For Mirrors Remix)
Pottery;Down In The Dumps
Jaga Jazzist;Spiral Era (Prins Thomas Remix)
Autarkic;Rotation! Rotation!
Elkka;I. Miss. Raving
Fenne Lily;Alapathy
Katie Von Schleicher;Wheel
Becca Mancari;Pretend
Låpsley;Womxn (Logic 1000 Remix)
Geeneus;Yellow Tail
Keleketla!;Shepherd Song
Tinie Tempah feat. Sofia Reyes And Farina;Whoppa
Villem feat. Leo Wood;We Had A Song
Chromatic;Race Against Time
Drens;Saditsfiction
Bronson feat. Totally Enormous Extinct Dinosaurs;Dawn
Maps;She Sang To Me (C Duncan Remix)
Deema;Dungeon
DMA´s;Life Is A Game Of Changing
Genevieve Artadi feat. Real Bad Man;Godzillaaaa
Jas Shaw & Bas Grossfeldt;Klavier Fff
Jas Shaw & Bas Grossfeldt;Klavier Mf
Kelly Lee Owens;On
Caribou;Never Come Back (Floating Points Remix)
The Jayhawks;Bitter Pill
The Beatles;Here Comes The Sun (Giles Martin Edit)
Dream Wife;Validation
Washed Out;Time To Walk Away
Laid Back;House Of The Rising Sun
