Interpret;Titel
Billy Cobham;Heather
McCoy Tyner;Above The Rainbow
U.S. Girls;Born To Lose
John Coltrane;Psalm
Lee Morgan;Rio
Caribou;Sunny´s Time
TOKiMONSTA feat. Drew Love;Get Me Some
Empress Of;Give Me Another Chance
Arbouretum;How Deep It Goes
404;Retour à l'Ether
Quasimoto;Jazz Cats, Pt. 1
John Carroll Kirby;Blueberry Beads
McCoy Tyner;We´ll Be Together Again
John Coltrane;Naima
Sam Gendel;Goodbye Pork Pie Hat
Marlon Hoffstadt;In My Mind
Janax Pacha;Ama-Zona
Andrea Schroeder;Helden
Porridge Radio;Long
Rahsaan Roland Kirk;Ain´t No Sunshine
The Saxophones;Flower Spirit
Four Tet;This Is For You
Dennis Cruz;Notche
Tom Mega feat. Mal Waldron;Les Deux Enfants
Charlie Mariano feat. Stu Goldberg;Crystal Bells
JFDR;Gravity
Pottery;Take Your Time
Baxter Dury;I´m Not Your Dog
Protomartyr;Processed By The Boys
