Interpret;Titel
Chinese Man & Scratch Bandits Crew & Baja Frequencia;Not So Samba
Abra Cadabra;Subliminals
Mr Eazi;Kpalanga
C.O.W. ? feat. Kid Simius;Circe
Bugzy Malone;Boxes Of Bush
Moses Boyd;2 Far Gone
Tom Misch & Yussef Dayes;What Kinda Music
Kassa Overall;The Best Of Life
Denzel Curry & Kenny Beats;Track07
$uicideboy$;I Wanna Be Romanticized
Rejoicer;Song For The Spirit Flights
Nadine Shah;Ladies For Babies (Goats For Love)
Nnamdi;Flowers To My Demons
Spencer.;Automatic
Hemi;Higher
Caribou;Never Come Back
Tame Impala;Borderline
Tame Impala;Tomorrow´s Dust
Tame Impala;It Isn´t Meant To Be
ACUA;Run
Brainticket;Black Sand
Brainticket;Place Of Light
Steve Miller;Fly Like An Eagle
Tame Impala;It Might Be Time
Supertramp;The Logical Song
Rihanna;Same Ol´ Mistakes
The Brotherhood;Sands Of Time
Messer;Versiegelte Zeit
En Attendant Ana;Flesh Or Blood
Lewsberg;From Never To Once
Pictish Trail;Turning Back
Camea;Together
Jacques Greene;Night Service (Fort Romeau Remix)
Recondite;Mirror Games
Asa Tone;Vanda Tricolor
Mirek Coutigny;Colorful Danger
Squirrel Flower;Slapback
