Interpret;Titel
Run The Jewels feat. 2 Chainz;Out Of Site
Consolidated;I Reckon You Should Shut The Fuck Up
Consolidated feat. The Yeastie Girls;You Suck
Run The Jewels;A Few Words For The Firing Squad (Radiation)
Source Direct;Vigilante
Exocet;Demon Seed
Need For Mirrors;Cole
Natalie Slade;Gimme Ya Love
Angie Stone;Brotha (El B Remix)
Faithless;We Come 1 (Wookie Rmx)
Faithless;Let The Music Decide For You
Natalie Slade;Control
Steppenkind;Brevado
Pabst;Ibuprofen
Wives;Hit Me Up
No Age;Head Sport Full Face
Sports Team;Feels Like Fun
Becca Mancari;Lonely Boy
Joe Hertz, Barney Artist & Sam Wills feat. Blue Lab Beats;Rain In Cuba
Klaus Doldinger´s Passport feat. Joo Kraus;Wade In The Water
Wargirl;Pretend
Rolling Blackouts Coastal Fever;The Cool Change
Public Practice;Compromised
Future Islands;Cave
DJ Pasha 95;Koks & Nutten
Bullion;Long Promised
Nayana IZ;TNT
Westerman;Dream Appropriate
Holy Hive;Hypnosis
Westerman;Drawbridge
Westerman;Blue Comanche
Westerman;Waiting On Design
Blanco White;Desert Days
Sofie;Try To Reach Me
Fingers Inc. Feat. Martin Luther King Jr.;Can You Feel It
DJ Boring;Like Water
Black Girl/White Girl;Disco Peacock
Mulatu Astatke & Black Jesus Experience;Mulatu
Sl8r;Heaven
L-Side feat. MC Fats;Steppa Dub
