Interpret;Titel
Bonobo & Totally Enormous Extinct Dinosaurs;Heartbreak
Boiish;Do Too Much (Elliot Adamson Tokyo Mix)
Bronson feat. Gallant;Know Me (Skream Rmx)
Ana Roxanne;- - -
Yxng Bane feat. D-Block Europe;Cut Me Off
Sirens Of Lesbos;Birds
Jaga Jazzist;Apex (Lindstrøm & Prins Thomas Remix)
Lindstrøm and Prins Thomas;Harmonia
DJ Haus;Analog Chime
Neuzeitliche Bodenbeläge;Keramik & Konflikte
Better Person;Hearts On Fire
Locked Groove;Beam Me Up
Caribou;Suddenly (Shanti Celeste Rmx)
Sandilé;One Time
De La Soul;Say No Go (Say No Dope Mix)
2 Chainz feat. Ty Dolla $ign & Lil Duval;Can´t Go For That
Loyle Carner;Yesterday
Giggs feat. Emeli Sande;It´s Hard
Quakers feat. The Niyat;Bare Essentials
NAS feat. Will.i.am;Hip Hop Is Dead
Urlaub In Polen;T.H.D.T
Embryo;Free
The Nix feat. Kwamie Liv;The Highest
The Nix feat. Khloe Anna;The Drop
Krudo;You Can´t Blame Me
Boxed In;Subtle Knife
Dylan Fraser;Vipers
Benjamin Schoos feat. Laetitia Sadier;Je Ne Vois Que Vous
Someone;The Deep
Great Mountain Fire;The Way
Lauren Ritter;Quartz
Sandilé;MJ Flip
Ana Roxanne;Suite Pour L´invisible
