Interpret;Titel
Dapo Tuburna;Black Girl Magic
Aluna;Warrior (Salute Remix)
Instinct;Sunstream
Wax Wings feat. Nimmo;Reclaim Me (Maya Jane Coles Remix)
Boiish;Do Too Much
Gorillaz feat. Beck;The Valley Of The Pagans
Mieux;I Want
PVA;Divine Intervention
Die Ärzte;Das Letzte Lied Des Sommers
Die Ärzte;Polyester
Ty Dolla $ign feat. Anderson .Paak & Thundercat;Track 6
Ty Dolla $ign feat. Kid Cudi;Temptations
SpaceMan Zack;Nightmare
Future Utopia feat. Stormzy & Beatrice Mushiya;How Do We Find Our Truth
Rose City Band;Floating Out
Good Sad Happy Bad;Pyro
Nabihah Iqbal;Something More
Edwin Rosen;1119
Boy Pablo;Leave Me Alone
Ideal;Eiszeit
EÖE (Erregung Öffentlicher Erregung);Vermessen
Herman Dune;Mookie Mookie
Happy Mondays;Kinky Afro
The Phoenix Foundation;Transit Of Venus
AFFKT;Torpedo (Musumeci Remix)
Silent Revolt feat. Ari Carlini;Dogmatik (Basti Grub Rmx)
Ela Minus;El Cielo No Es De Nadie
Actress;XRAY
Glenn Astro;Taking Care Of Business
Verraco;NRG Remains
Jose Padilla;Day One
Loma;Half Silences
Bruce Springsteen;If I Was The Priest
Nina Hynes;White Byutterfly
Actress feat. Aura T-09;Loveless
Actress feat. Aura T-09;Turin
