Interpret;Titel
Hanni El Khatib;Stressy
The Twilite Tone;Space Invaders
Kassa Overall;The Best Of Life
Boxed In;Subtle Knife
Aitch;Mice
Kida Kudz;Yeye Riddim
Eugy;Rendezvous
Onipa feat. Wlyaala;Onipa
Logic1000;DJ Logic Please Forgive Me
Klangstof;Blank Page
Primal Scream;Loaded
Working Men´s Club;White Rooms and People
Warm Digits;View From Nowhere
Berhana;G2g
Bankroll Freddie feat. Renni Rucci;Lil Mama
Best Coast;Different Light
The Smithereens;A Girl Like You
Marlon Hoffstadt;Planet Love
Northworks;High Line 3190
Jorge Caiado;MJ in Kobe
Andrew Weatherall;Unknown Plunderer
Vox Low;What If The Symbols Fall Down (Pilooski Floating Dub)
Grimes & PAN;Darkside
Grimes;Delete Forever
070 Shake;Morrow
Supermassive & The Ware feat. Nina;Same Ol´ Mistakes
John Carroll Kirby;By The Sea
Tabou No. 2;Experience
Liam Bailey;Please Love Me Again
Khruanbin & Leon Bridges;C-Side
Monophonics;It´s Only Us
King Krule;Underclass
Okay Kaya;Givenupitis
Spinning Coin;Black Cat
Arbouretum;A Prism In Reverse
Pretty Lightning;Greyhound
DC Scalas;Give Up
Fatal Error;Fatal Error
Nadine Shah;Ladies For Babies (Goats For Love)
