Interpret;Titel
Theobald Ringer;Jon Binzo
Ian Blevins;Away From The Hammock District (Edmondson Remix)
Sam Prekop;Summer Places
Lionel Boy;Are You Happy Yet?
Philip D Kick;Summer Moods
Art Of Noise;Something Always Happens (Doc Scott Remix)
The Streets & Chris Lorenzo;Take Me As I Am
Jessy Lanza;Like Fire
Muzz;Everyting Like It Used To Be
Friedemann Weise;Liebeskummer Im Sommer
NZCA Lines;Primp And Shine
DMA´s;Life Is A Game Of Changing
Jayda G;Both Of Us
Sofia Portanet;Menschen Und Mächte
Sofia Portanet;Das Kind
Perel;Alles
Eyedress;Jealous
Suv & KC feat. Paul Charles;Deny
The Streets feat. Donae´o & Greentea Peng;I Wished You Loved You As Much As You Love Him
Rema;Iron Man
Haiyti;Black Ice
Art Feynman;China Be Better
Jonathan Bree;Heavenly Vision
Francois V;Into The Cloud
DJ Steaw;Freee (House Mix)
Romare;Sunshine
L.A.Salami;Things Ain´t Changed
Paint;Land Man
Haim;Up From A Dream
DMA´s;Hello Girlfriend
Future Islands;For Sure
A Certain Ratio;Always In Love
Darkstar;1001
