Interpret;Titel
Faithless;Let The Music Decide
Clubkelly;Flip Major
Jimi Tenor;Sugar And Spice
Kerleketla!;International Love Affair (Project Pablo Remix)
Mani Festo;Spiral
Otik;Thousand Year Stare
Secretsundaze;Drifting
Better Daze;Golden Brown (Fila Brazillia Remix)
Mark Barrott;Go Berri Be Happy
Phoebe Bridgers;Scott Street
TY & Durrty Goodz;The Real Ones
Drab City;Working For The Men
Joe Farrell Quartet;Follow Your Heart
Soft Machine;Day´s Eye
Kierra Luv;Out Of Bounds
Poundz;Honey
Iann Dior;Sickness
Bob Dylan;Goodbye Jimmy Reed
Jimmy Reed;Big Boss Man
Gum Country;Somewhere
Phoebe Bridgers;I Know The End
Bananagun;Bang To The Bongos
Imposs feat. Marie-Mai;Sans Lendemain (One Last Time)
Native Cruise;Crew Talk
Wolf & Moon;A Tape Called Life
The Jayhawks;This Forgotten Town
Dawes;Time Spent In Los Angeles
Ocean Colour Scene;Drive Away
Phoebe Bridgers;Kyoto
DJ Boring;Like Water
Theus Mago;Apache Nights (A Chicken Lips Malfunction)
Marsha Hunt;Walk In Gilded Splinters
Genevieve Artadi;Hot Mess
Boddy & Raquet;Stellar
Jazzuelle;Catching Fire
