Interpret;Titel
Golden Bug And The Liminanas;Variations Sur 3 Bancs
Paresse;Angelus Redux
De Lux;Dancing Is Dangerous In Los Angeles
Rushy;S3 Way
Renni Rucci;Solid Bitch
Jeshi;Kiss The Flame
Jamael Dean feat. Sharada Shashidhar;Infant Eyes
Mickey Jupp;Short List
The Strokes;The Adults Are Talking
Donovan;Colours
Francois & The Atlas Mountains;Le Plus Beaux
Dirty Projectors;Guarding The Baby
Slow Leaves;Looking Out My Window
Lido Pimienta;Te Queria
Zoo Brazil;Mystery Walk
MJ Cole;Sincere
Stormzy;Crown
MJ Cole;Cathedral
Herbie Hancock;Alphabeta
Leon Thomas;The Creator Has A Master Plan
