Interpret;Titel
James Last;Fantasy
Udo Jürgens;Lieb Vaterland
Joy Fleming;Halbblut
Peter Maffay;So Bist Du
Marianne Rosenberg;Fremder Mann
Ramon Roselly;Nachts, Wenn Ich So Alleine Bin
Ben Zucker;Mein Berlin
Frank Zander feat. She-Raw & Plaetter Pi;Frank Zander (Curry Rap Mix)
Jochen Distelmeyer;Hiob
Michael Holm;Barfuß Im Regen
Drafi Deutscher;Marmor, Stein Und Eisen Bricht
DJ Ötzi & Nik P.;Ein Stern (Der Deinen Namen Trägt)
Pottoriginale feat. Helmut;Lass Mich Die Luft In Deiner Lunge Sein
James Last;Proud Mary/Get Back
Ed Kuepper;Standing In The Cold, In The Rain
Ricky Shayne;Ich Mache Keine Komplimente
Wanda;Schickt Mir Die Post
Roland Kaiser;Lang Nicht Mehr Gemacht
Laura Wilde;Wolkenbruch Im 7ten Himmel
Münchener Freiheit;Herzschlag Ist Der Takt
Barry Ryan;Die Zeit Macht Nur Vor dem Teufel Halt
Ross Antony;Bewundernswert (Orchester-Version)
Christian Anders;Geh Nicht Vorbei
Geier Sturzflug;Pure Lust Am Leben
Jürgen Marcus;Eine Neue Liebe Ist Wie Ein Neues Leben
James Last;ZDF Hitparade Titelmelodie
Stereoact feat. Kerstin Ott;Die Immer Lacht
Thommie Bayer Band;Der letzte Cowboy
Howard Carpendale;Hello Again
Justus Köhncke;Stimmen Im Wind
Apache 207;Doch In Der Nacht
Juliane Werding;Wenn Du Denkst, Du Denkst, Dann Denkst Du Nur Du Denkst
Albano & Romina Power;Felicità
Das Lunsentrio;Im Goldenen Hahn
Rocko Schamoni;Hallo, Ich Bin Rocko Schamoni
Roland Kaiser & Maite Kelly;Warum Hast Du Nicht Nein Gesagt
Andy Borg;Adios Amor
Roger Trash;Ein Bißchen Trash Braucht Jeder Mensch
