Interpret;Titel
Tom Misch & Yussef Dayes;Lift Off
Stanley Clarke;Between Love & Magic
Maya Jane Coles feat. Claudia Kane;Run To You
Wiz Khalifa feat. Tyga;Contact
Fekky;4life
Wavy Navy Pooh;Gang Gang
Tom Misch & Yussef Dayes;Sensational
Homeboy Sandman;Far Out
Eric Gale;Ginseng Woman
Yussef Kamaal;Lowrider
Natalie Slade;Love Light
Darkstar;Wolf (John Talabot´s Euphoric Mix)
Hodge;Cutie
Danzig;Fever
Jackie Lynn;Diamond Glue
Peaking Lights;Peace
Quent;Dramatic Perhaps
Tom Misch & Yussef Dayes;Julie Mangos
The New Tony Williams Lifetime;Snake Oil
Ramirez;Tales From Tha Guttah
Rahli feat. Lil STL;Clip Hangin
Jerry Paper;Cholla
Thundercat;King Of The Hill
Diana Ross;Upside Down
Thundercat feat. Steve Lacy, Steve Arrington & Childish Gambino;Black Qualls
Squarepusher;Deep Fried Pizza
Fiona Apple;Fetch The Bolt Cutters Pt. 1
Rone;La Marbrerie
Cocktail Party Effect;Loner
Peshay;The Real Thing
Addison Groove;Laguna
GLXY feat. Steo;Conclusions
John Carroll Kirby;Humid Mood
Fiona Apple;Fetch The Bolt Cutters Pt. 2
Tom Misch & Yussef Dayes feat. Freddie Gibbs;Nightrider
Washed Out;Too Late
Fred P;Feel It
Arbouretum;How Deep It Goes
Espers;The Road Of Golden Dust
