Interpret;Titel
Matt Karmil;SR WB
Stormzy;Cold
Wajetta;Tonight
Little Dragon;Hold On (Poté Remix)
Zed Bias feat. Blind Mic;Ravers
Rude Kid, FTSE & JayKae;Honey Dew
Walton;Abyss
Batida;Vaivai
Millionaire;Can´t Stop The Noise
Sun And The Wolf;Precipice
Christine And The Queens;I Disappear In Your Arms
Eris Drew;Fluids Of Emotion
Jammin;Moving Differently
Phase Fatale;De-Patterning
Public Relations;Public Relations
Camilla Sparksss feat. Fakear;Are You Ok? (Fakear Remix)
L Twills;Antigone´s Dream
Sirkea;Want To
Caribou;Never Come Back
Caribou;Sunny´s Time
John Carroll Kirby;Blueberry Beads
Jaga Jazzist;Spiral Era
Poolside;Low Season
Die Sterne feat. Düsseldorfer Düsterboys;Du Musst Gar Nix
Brado & Mero;Kafa Leyla
Renni Rucci;Bitch Don´t Do It
Rema;Rainbow
Bell Towers;Privacy
Tycho;Cypress
C.O.W. feat. Dexter;heQj (^^)
Malena Za;I´m Leaving Home
Squirrel Flower;Eight Hours
ACUA;Keep Spinning
Blâme;Berceuse
Piezp;Tinned
Gordo;Tribal Rave (The Message)
Wajatta;Another Sun
