Interpret;Titel
DJ Boring;Like Water
James Burton;No longer
Charli XCX;I Finally Understand
Charlotte Haining;Carried Away (Ellie Sax Remix)
Infant Finches;Finches
Sharada Shashidhar;Messages
Sharada Shashidhar;Luckiest Star
Future feat. Travis Scott;Solitaires
NAV feat. Future;My Business
D Power Diesle & Zdot;Hold On
Fracture & Sam Binga;On Right Now
DJ Andy;So Much Love
Yulia Niko;Molly & Sally (Mihai Popoviciu Remix)
Joel Sarakula;Midnight Driver
Steely Dan;Do It Again
LA Priest;Beginning
Khruangbin;Time (You And I)
Peaking Lights;Innerterrestrial
Moscoman ft. Wooze;Eyes Wide Strut
Protomartyr;Worm In Heaven
Jonas David;SORRI
Kaitlyn Aurelia Smith;Carrying Gravity
Wandl;Double Exposure
Drake feat. Chris Brown;Not You Too
Joe Hertz feat. Ryahn;Trippin
Joy Division;Isolation
Joy Division;Love Will Tear Us Apart
Fontaines D.C.;A Hero´s Death
Katie Von Schleicher;Caged Sleep
Kevin Krauter;Kept
Mac DeMarco;Cooking Up Something Good
Jerry Paper;Trash Can
