Interpret;Titel
Mala;Calle F
Dilemma;Exit Stage Left
Fleetwood Mac feat. Eddie Boyd;Just The Blues
Cuby + Blizzards;Hobo Blues
Fleetwood Mac;Trying So Hard To Forget
Bon Iver;re:stacks
Taylor Swift;Hoax
Taylor Swift;Seven
Fleetwood Mac;Black Magic Woman
Surprise Chef;All News Is Good News
Taste;On The Boards
Deema;Dungeon
Devonwho;Nimbus
Slav;Bus
Cap Kendricks;Earthchilds
Joesef feat. Loyle Carner;I Wonder Why
Raw Stylus;Pass Me By (Howie B Vocal Mix)
The Twilite Tone;Do It Properly
Tokimonsta;Come And Go (Dombresky Edit)
Musumeci;Pawn Storm
John Mayall & The Bluesbreakers;Nature´s Disappearing
Alexis Korner;Robert Johnson
Bahama Soul Club;Never Roam No More
L.A. Salami;The Cage
Beautiful People;If 60´s Was 90´s
Fleetwood Mac;Albatross
Lionel Boy;Lost
Jaga Jazzist;Tomita
Fleetwood Mac;The World Keep On Turning
Fleetwood Mac;Looking For Somebody
Fleetwood Mac;No Place To Go
Joe Hertz;Colourblind
Tender Games;Delusion (Club Edit)
The Naked And Famous;Sunseeker
Greer;Aeroplane
