Interpret;Titel
Pet Shop Boys ;King Of Rome
Douglas Greed ;Beuys Don´t Cry
Loney Dear ;Under A Silent Sea
Marching Band ;For Your Love
Ben Lee ;Surrender
Barzin ;When It Falls Apart
Bonnie Prince Billy ;You Can´t Hurt Me Now
Tadeo ;"""21"""
Mathias Schaffhäuser & Ziggy Kinder ;Syntagma
Quantec ;Electromagnetic Pulse
Quantec ;Life Has Changed
Ramadanman ;Mackaveli Fabriclive: Humber
Joe ;Mackaveli Fabriclive: Grimelight
Sarrass ;Home At The Sea
Fleur Earth Experiment ;Barfuss
Combustible Edison ;The Millionaire´s Holiday
Mocky ;Saskamodie
Speech Debelle ;The Key
Laurent Garnier ;Gnanmankoudji
John Daly ;This Is A Lonely Beat
Mark E ;Fazer
Handsome Furs ;Thy Will Be Done
Royal Bangs ;New Scissors
Burnski ;Species
Jamie Jones feat. Ost&Kjex ;Summertime (original)
Burial ;Raver
La Roux ;In For The Kill(Skream Vs Foamo Rmx)
Coma ;Blue
X Rabit + DMG$ ;Salt Shaker
Who Made Who ;Motown Bizarre
Coldcut ;True Skool
Two Fingers feat. Sway ;Jewels And Gems
Nosliw ;Hör Nich Auf
