Interpret;Titel
Balil / Black Dog Productions;¾ Heart (Mark Pritchard)
Steve Bug & The Discowboys;At Midnight
Ultimate C;Side By Side
Ian Brown;For The Glory
Yacht;Pschic City
Swayzak;Quiet Life
Luna City Express;Diamonds & Pearls
The Step;Yeah You!
Aphex Twin;Window Licker
Robot Koch;Hard To Find
Rufus Wainwright;Slideshow
Sally Shapiro;Looking At The Stars
Wareika;Kings Child (Ricardo Villalobos Remix)
Netsky;Hold On To Love
Muffler;The Moment
SpectraSoul;Melodies
Estroe;Passionate Timidity
Paul Hardy;Sizzler
The Stone Roses;Made Of Stone
Silly;Mont Klamott
Motor City Drum Ensemble;Passion
Fuse;The Machine (Ame' Remix)
The Specials;Ghost Town
Joy Orbison;Hyph Mngo
Alix Perez feat. Ursula Rucker;Intersections
Orbital;Lush 3 (3-1 & 3-2 Orbital 20)
Kraftwerk;Autobahn
