Interpret;Titel
Moriarty;Cottonflower
Jennifer Gentle;She´s Alright
Gabriel Ananda;Lamakova
Scuba;The Upside (Martyn Rmx)
Paradox;Black Sun
Noisia;Strange Owl Experiment
Friendly Fires feat. Au Re Voir Simone;Paris (Aeroplane Rmx)
Girls In Hawaii;Shades Of Time
Ride;Leave Them All Behind
Monks;Boys Are Boys And Girls Are Choice
Baddies;Block It Out
The Spinto Band;The Carnival
Off Montreal;Gallery Piece
Tim Exile;Family Galaxy
Coma;Embargo
Micachu & The Shapes;Golden Phone
James Yuill;She Said In Jest
First Aid Kit;Tiger Mountain Peasant Song
Buraka Som Sistema feat. Petty;Yah! (The Count&Sinden Rmx)
Wir Sind Helden;Guten Tag
Plastic Bertrand;Ca Plane Pour Moi
Lynx Vs Hellrazer;Shady Pastimes
Osdorp Posse;De Goeie In ´T Vloeien
The Pet Conspiracy;Depot
Pacific!;Number One
Errors;National Prism
Starling Electric;I Got Scared
Yo Yo Mundi;Theme Of Sciopero
Doctor Rockit;Café De Flor
Antony And The Johnsons;One Dove
Peverelist;Gather
Le Noir & Meriton;Legends
