Interpret;Titel
Murda Sound (Cluekid Rmx) ;Bar 9
Timeblind ;Time Dilated By Matter
O/V/R ;Interior
Max Cavallera ;In Memory Of Violett
Claro Intelecto ;Dependant
Jamie Woon ;Wayfaring Stranger (Burial Rmx)
Zomby ;Test Me For A Reason
Zomby ;The Lie (LV Rmx)
Likhan ;Red Light
Two Fingers feat. Sway ;What You Know (Emalkay Rmx)
The Whitest Boy Alive ;Island
Peter Kruder ;Visions Ltd.
Fever Ray ;When I Grow Up
Mike Monday Vs 3rd Face ;What Canto Is It? (Prins Thomas Rmx)
Hjaltalin ;The Boy Next Door
Bishop Allen ;True Or False
M.Ward ;Jailbird
Mirah ;Gone Are The Days
DM Stith ;Pity Dance
The Long Lost ;Overmuch
Hudson Mohawke ;Velvet Peel
Extra Golden ;Gimakiny Akia
Telefon Tel Aviv ;You Are The Worst Thing In The World
DJ Hell ;The Angst
Sunny Day In Smallville ;Someone Else
Filthy Dukes ;This Rhythm
Thunderheist ;Sweet 16
Treasure Fingers ;Cross The Dancefloor
Modeselektor ;Suckerpin (Feadz Rmx)
