Interpret;Titel
Livio & Roby;Premiesku
Deepchild;Shibuya Jack
Rene Breitbarth;Sphere
Ozark Henry;Christine
Oh No Ono;Swim
Wagner;Tyskepiger
When Saints Go Machine;New Elvis
Marmaduke Duke;Demon
Phoenix;Lisztomania (Alex Metric Rmx)
Rumpistol;Refleksion
Burial & Fourtet;Wolf Cub
Sleepy Sun;Duet With The Northern Sky
Fink;Walking In The Sun
Carlos Nino & Friends;Ants And Elephants
Savath & Savalas;La Loba
Burial & Fourtet;Moth
Moderat;Rusty Nails
Soultourist;For Eva
Martyn;Vancouver
Modaji;Endzones
Comfort;Where The Walk Is Slow
Ital Tek;Snowburst
Wiley;Baby Girl
Speech Debelle;Daddy´s Little Girl
Lucy Love;Daddy Was A DJ
Caspa feat. Dynamite MC;Rat-A-Tat-Tat
Kode9 Vs LD;Bad
Markus Fix;Oh Yes I Like It Render
Abe Duque;Wake Up
Sinner DC;Golden Horses
Musiccargo;One Way Ticket
The Black Neon;Ode To Immer Wieder
