Interpret;Titel
ARP 101 & Elliott Yorke;Polybot
Dollkraut & Bernard Crochet;Zero
Synkro;Memories Of Love
Submerse;Give It Up
Beaumont;Rendez-Vous
DFRNT;Work Harder
Malka Spigel;Finding You
The Sea And Cake;Skyscraper
Midland;Placement (Lone Remix)
Tristesse Contemporaire;I Didn´t Know
Fostercare;Korean Lesson
Neneh Cherry & First Thing;Too Tough To Die
Tindersticks;Slippin´ Shoes
Bruce Trail;Beatrice
Bicep;You
Miaoux Miaoux;Is It A Dream
Terror Danjah;Baby Oil
Flying Lotus;All In
KRTS;Hold On
Goat;Det Som Aldrig Förändras/Diarabi
Sun Kil Moon;UK Blues 2
Lone;Crystal Caverns 1991
Beatbully;Grandmagabber
Cottom;Relapse
Brookes Brothers;Snowman
S.P.Y. feat. Georgia Yates;Run To Me (The Others Remix)
Skream;Inhumane
School Of Seven Bells;Love Play
The XX;Sunset
Volor Flex;Pressure
Burial;Truant
Kid 606;I Want To Join A Cult
Dead Western;All I Need Is All Around
Shin Joong Hyun feat. Kim Jung Mi;The Sun
Gudrun Gut;Garten
